Unnamed: 0,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
7326,Jet Airways,Kolkata,Banglore,1,10844,6,9,18,55,25,50
9713,Vistara,Banglore,New Delhi,0,6138,15,3,9,50,2,45
4392,IndiGo,Delhi,Cochin,1,6528,21,3,16,10,6,10
7539,Jet Airways,Kolkata,Banglore,1,8529,6,12,14,5,26,15
5220,SpiceJet,Banglore,Delhi,0,3625,5,3,5,55,2,40
7380,IndiGo,Banglore,Delhi,0,4823,4,3,18,25,2,55
2321,Air India,Banglore,New Delhi,2,10573,3,3,6,45,17,10
1114,Air India,Banglore,Delhi,0,5228,5,3,6,10,2,45
6373,Air Asia,Delhi,Cochin,1,6152,6,12,7,55,7,50
7792,Air India,Delhi,Cochin,2,12257,21,5,18,45,24,30
1041,Air India,Mumbai,Hyderabad,0,3100,21,5,21,5,1,20
20,GoAir,Delhi,Cochin,1,19495,3,6,14,10,5,10
6549,IndiGo,Delhi,Cochin,0,5601,6,12,5,35,3,15
8206,Multiple carriers,Delhi,Cochin,1,14323,5,9,9,0,10,15
8567,IndiGo,Delhi,Cochin,1,6442,15,5,11,55,10,35
7784,Jet Airways,Delhi,Cochin,1,14714,6,3,22,50,13,45
936,Jet Airways,Banglore,New Delhi,1,25735,3,1,22,50,20,20
7768,IndiGo,Banglore,Delhi,0,4423,5,1,6,5,2,45
10561,Jet Airways,Banglore,New Delhi,1,20800,3,1,14,5,18,55
394,Jet Airways,Delhi,Cochin,1,12898,21,5,14,0,5,0
3530,Jet Airways,Banglore,Delhi,0,5198,5,12,7,10,3,0
1748,SpiceJet,Kolkata,Banglore,0,4174,6,9,17,10,2,30
561,IndiGo,Kolkata,Banglore,0,4488,4,12,20,20,2,35
1167,Jet Airways,Banglore,Delhi,0,7229,18,4,6,0,2,45
7638,Multiple carriers,Delhi,Cochin,1,8266,21,5,10,20,8,55
2795,Jet Airways,Delhi,Cochin,2,10909,4,9,5,30,13,30
3284,Jet Airways,Banglore,Delhi,0,8016,18,6,6,0,2,45
1534,IndiGo,Kolkata,Banglore,0,4148,27,3,21,25,2,40
3606,Air India,Kolkata,Banglore,2,10151,5,1,12,0,30,30
9587,Air Asia,Banglore,Delhi,0,4282,15,5,4,55,2,50
58,Multiple carriers,Delhi,Cochin,1,8073,5,6,19,0,6,30
9747,Air India,Kolkata,Banglore,1,6612,5,9,12,0,25,15
5360,Vistara,Mumbai,Hyderabad,1,12395,3,6,21,55,25,0
3588,SpiceJet,Kolkata,Banglore,0,3873,4,6,9,0,2,25
6712,Jet Airways,Delhi,Cochin,1,17024,3,6,11,30,7,20
2515,GoAir,Banglore,Delhi,0,3419,4,6,20,55,2,45
5904,SpiceJet,Kolkata,Banglore,0,3849,3,6,22,20,2,20
6244,Jet Airways,Delhi,Cochin,1,12373,18,5,18,15,10,10
5313,Jet Airways,Kolkata,Banglore,1,10844,24,5,20,0,24,45
9393,Air India,Banglore,Delhi,0,5176,4,1,17,0,2,45
414,IndiGo,Banglore,Delhi,0,3943,18,5,10,10,2,50
10129,IndiGo,Banglore,New Delhi,1,11873,3,3,14,25,5,0
9690,Jet Airways,Kolkata,Banglore,1,14151,6,6,9,35,9,35
3051,IndiGo,Kolkata,Banglore,0,4778,3,6,21,25,2,40
8584,Jet Airways,Banglore,New Delhi,1,9134,15,3,8,55,7,15
9195,IndiGo,Banglore,New Delhi,0,4545,3,9,0,40,2,45
6863,Air Asia,Kolkata,Banglore,0,4409,15,4,10,20,2,35
5853,Air India,Delhi,Cochin,0,6094,18,4,5,10,2,50
7056,Multiple carriers,Delhi,Cochin,1,16108,15,6,7,5,12,10
5082,Multiple carriers,Delhi,Cochin,2,7084,3,6,7,5,14,15
2150,Jet Airways,Banglore,New Delhi,1,17996,3,6,8,0,24,15
1910,IndiGo,Chennai,Kolkata,0,6297,3,12,7,55,2,20
5889,IndiGo,Kolkata,Banglore,0,4148,27,3,15,10,2,35
3232,Jet Airways,Kolkata,Banglore,1,13044,6,12,14,5,20,0
8841,SpiceJet,Banglore,Delhi,0,3625,24,6,5,55,2,40
9710,Jet Airways,Kolkata,Banglore,1,10703,5,12,20,25,24,40
6127,Jet Airways,Kolkata,Banglore,1,11467,5,1,20,25,22,45
1829,Jet Airways,Delhi,Cochin,1,11627,6,3,11,30,16,55
1950,Jet Airways,Kolkata,Banglore,1,14781,15,5,14,5,6,40
